SeqNo,Hashtags_Threshold,Caption_Len_Threshold,Comments_Len_Threshold,Filtered_Data_Size
249,7,10,8,3455
250,7,10,9,3304
251,7,10,10,3163
252,8,5,5,4729
253,8,5,6,4473
254,8,5,7,4228
255,8,5,8,3997
256,8,5,9,3816
257,8,5,10,3643
258,8,6,5,4539
259,8,6,6,4291
260,8,6,7,4059
261,8,6,8,3837
262,8,6,9,3664
263,8,6,10,3505
264,8,7,5,4379
265,8,7,6,4142
266,8,7,7,3926
267,8,7,8,3718
268,8,7,9,3549
269,8,7,10,3401
270,8,8,5,4240
271,8,8,6,4008
272,8,8,7,3803
273,8,8,8,3596
274,8,8,9,3439
275,8,8,10,3294
276,8,9,5,4087
277,8,9,6,3866
278,8,9,7,3664
279,8,9,8,3462
280,8,9,9,3314
281,8,9,10,3172
282,8,10,5,3963
283,8,10,6,3751
284,8,10,7,3553
285,8,10,8,3362
286,8,10,9,3218
287,8,10,10,3080
288,9,5,5,4586
289,9,5,6,4337
290,9,5,7,4107
291,9,5,8,3889
292,9,5,9,3715
293,9,5,10,3545
294,9,6,5,4403
295,9,6,6,4162
296,9,6,7,3944
297,9,6,8,3735
298,9,6,9,3566
299,9,6,10,3409
300,9,7,5,4244
301,9,7,6,4014
302,9,7,7,3812
303,9,7,8,3617
304,9,7,9,3452
305,9,7,10,3306
306,9,8,5,4110
307,9,8,6,3884
308,9,8,7,3692
309,9,8,8,3498
310,9,8,9,3345
311,9,8,10,3202
312,9,9,5,3962
313,9,9,6,3747
314,9,9,7,3558
315,9,9,8,3368
316,9,9,9,3224
317,9,9,10,3084
318,9,10,5,3847
319,9,10,6,3641
320,9,10,7,3454
321,9,10,8,3274
322,9,10,9,3134
323,9,10,10,2998
324,10,5,5,4446
325,10,5,6,4202
326,10,5,7,3978
327,10,5,8,3765
328,10,5,9,3599
329,10,5,10,3437
330,10,6,5,4266
331,10,6,6,4030
332,10,6,7,3818
333,10,6,8,3614
334,10,6,9,3453
335,10,6,10,3304
336,10,7,5,4112
337,10,7,6,3887
338,10,7,7,3691
339,10,7,8,3500
340,10,7,9,3343
341,10,7,10,3205
342,10,8,5,3984
343,10,8,6,3763
344,10,8,7,3577
345,10,8,8,3387
346,10,8,9,3242
347,10,8,10,3107
348,10,9,5,3841
349,10,9,6,3631
350,10,9,7,3448
351,10,9,8,3262
352,10,9,9,3126
353,10,9,10,2994
354,10,10,5,3727
355,10,10,6,3526
356,10,10,7,3345
357,10,10,8,3169
358,10,10,9,3037
359,10,10,10,2909
