SeqNo,text,hashtags,comments,likes
0,0,"Y’all see dis bitch? She’s fucking beautiful and I love her more than anything. I don’t know how I got so lucky to not only find someone to put up with all wilin ass shenanigans but also participate in it, but I’m ever grateful. Daddy loves you more than anything baby! @raeriot #gaypride #christianmingle #racialsupremacy #womenareinferior #ftw #foad #drugssexrocknroll #love #hailsatanmotherfucker #bdsm #daddy #grindcoremademerichandsexy",womenareinferior,|Aww bitch you made me CRY at work lmao. I fucking love you daddy!!!!|My two favorite niggas ❤|All your hash tags made me lol. #womenareinferior|Eyeliner game on point tho!!🖤,12
1,1,Happy early birthday birthday girl 🎊 #midblink,womenareinferior,|Nothing but heart reacts for you handsome ❤️|What're you putting in her drink|Cutest couple|your hashtags are fucked|dad|Bel post! 😃,315
2,2,"#fragilemasculinity Cool story bro, but it's not a subversion. You can call it embroidery; nobody who counts is going to think you're a stupid, inferior woman for doing so. (I get that it might feel helpful to be part of an in-group and have a sense of community, but it is seriously not that bad to be part of a community of women. And honestly? If you call what you do embroidery, you'll probably get brownie points for being sufficiently brave to not mind being associated with silly girls.)
.
#embroidery #manbroidery #womenareinferior",womenareinferior,"|Plus 'embroidery' already has 'bro' in it so that makes it OK.|Nice subversion, bro, i needed a safe space for my testosterone soaked needlepoint... Hahahaha!!
Also, take your ""nutrageous"" with you as you leave the sewing circle, please.",12
3,3,Drag King Material? #dragking,womenareinferior,|@dclnlngn #womenareinferior,18
4,4,Gender equality is a MYTH / A nemek közötti egyenlöség ILLÚZIÓ #sizematters #truthhurts #dealwithit #feminism #feminizmus #menaresuperior #womenareinferior #getusedtoit #huffnagelarmy,womenareinferior,"|Juuuuj....ezen gondolkodj el kicsit...en nem tudok ilyen meretuvel...😊😀😠😬|Jó, az üzenet átviteléhez kicsit el kellett nagyolni az arányokat, valójában 10-11% a különbség. Az állítás pedig igaz, igy a nemek közötti egyenlőség egy illúzió. Benne volt ez még anno a biológia könyvünkben is, csak Te is megfeledkeztél azóta róla. A feminizmus szektája erre a hazugságra épül, a nők pedig annyira csodálják a Férfit - Freud óta tudunk a péniszirigységetekről - hogy szeretnétek elhinni, egyenlőek vagytok. Ettől azonban ez még nem igaz. @fatraiiii|punci-irigyseg is letezik!!!!!!|@fatariiii : persze, azok a transzik meg azok a homokosok akik nővé operáltatják magukat.|Nem!! @lenoks69  A pasiknal is van (hetero) akik ha nem kapjak meg a csajt,mas viszont igen....Tudnak galibat csinalni....😠😕|Senki nem dug már nőkkel @fatraiiii Because it's 2016 #mgtow 💪👨🏻💪",10
5,5,Yet another way men are superior to women: lung capacity. Can't argue the facts! #truth,womenareinferior,|Aaaaand let the hating begin!  #womenareinferior #menrule #quithatin #umirin #superiorgender #sexistpiggy #sowhat #womangocookmesomefood|@dblue89 @dle9 @powerhousemph @jbsp150 @jb_swole13 @jramirez1201|#maledomination|What are you going to school for?|Respiratory ?|Physical therapy doctorate. Takin prereqs now. Have a BA in psych...|Mirin,8
6,6,#swag #iwin #northKorea #beachweek #beacholmpics  #thisiswhatsuccesslookslike#men #womenareinferior,womenareinferior,"|More like bitch week|Beach olympics? More like special olympics|I'm glad that in my insta pic I said you were attractive & now you're calling me inferior. #ihateyou|also you spelled Olympics wrong stupid|It doesn't matter I'm still better @cheerykierry|yeahhh, I'm pretty sure you're not though|Ur both small @maxbianculli @cheerykierry|@sambianculli And if that biking guy in the profile pic is u, then you look like a dwarf|@cheerykierry Clever. Keep it up|@maxbianculli And YOU. F**k off. I have no regrets <^> -﹁- <^>|@maxbianculli And you. fuck off. <^> -﹁ -",35
7,7,And women say they can take more pain. Fuck outta hear #menarebetter #womenareinferior #pain #nutshot #facts,womenareinferior,"|I don't believe it!|Well it's true so tuff ✋👋 #haters|@prismatic_sun|Ok frank let's see you squeeze a baby out of your asshole. 😂😂|Del isn't even a real unit of pain measurement. Duh.|This is sexist|Haha. I kicked a guy in his balls before.|And I have no regrets 🖕🏼|@fankk Yes we can take more pain. But only a BITCH will go and have 160 babies.|This is so old and so fake|1) not every man get kicked in balls........ 2) there's nothing like ""del""  it's dol ...... 3) tear yourself to pop out a human PAINS MORE THAN FUCKING KICK.... DUMBASSS",19
