SeqNo,text,hashtags,comments,likes
10,10,"Tune in to the BETher Fights Breast Cancer Awards tonight at 8pm EST on BET and get tested! It could save your life.
•
•
•
•
•
•
•
#breastcancerawareness #mencare #heforshe #womensrightsmovement #advocate #blackmenwithbeards #womensrights #womensadvocate #herproblemismyproblem #activist #socialjusticewarrior #socialjustice #socialjusticeactivist #womenempowerment #fightagainstcancer #yesallwomen #tothegirls #breastcancer #girlsrock #metoo #survive #cancersurvivor #changethenarrative #changetheworld #bethechange",heforshe,|🔥 😍😍😘|💕💕💕|💪🏻🙏🏻🎈🎀💕💕💕💕👈✊☝️💪🏻|✊✊🙌🏻🎀🎀🎀💯♾👈|💕💕🎀#survivor🎀💕💕|🙌🏾|😍|Handsome 🔥🔥🔥🔥|❤️❤️❤️|Yasss 👏🏽👏🏽👏🏽|Awesome Cause🙌🏾🙌🏾 great caption. Looking Great in Pink 👍🏾,187
11,11,"Just 3 days to go which means 3 more surgeons to introduce for our 2nd Speed Mentoring Event! Dr Rebecca Weedle graduated from TCD in 2013 and is currently an ST5 trainee in Cardiothoracic’s in University Hospital Galway.
October 19th is fast approaching and we cannot wait to welcome these wonderful surgeons!",heforshe,|#womeninsurgery #womensurgeons #aws #rcsiaws #ilooklikeasurgeon #surgery #womeninstem #womeninmedicine #heforshe #surgeon #doctor #medic #medicine #medschool #medicalschool #medstudent #medlife,22
12,12,"I love this movie ❤
--
-
-
-
-
-
-
-
-
-Credicts: @the.emmawatson.world
_
_
_
_
_
_
_
_
_
(emmawatson #harrypotter#emmawatsonlove #emmacharlotteduerrewatson #emmawatsonfan #heforshe#timeup#watson #emmawatson#hermionegranger #grifindor #emmawatsonfanpage#emmaforever
(",heforshe,|I think I belong on this ile|😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍🔥🔥🔥😍😍😍|I love you 💖💗💖,152
13,13,"Soup Night with my #heforshe’s! Because gender equality isn’t just a woman’s issue - it’s everyone’s issue. Super grateful for their friendship, and most especially, for their insight on advancing the mission of @shemattersnl.💜",heforshe,"|.
.
.
.
.
#soupnight #rotterdam #friendshipgoals #squad #entrepreneurship #entrepreneurlife #goodvibes #hangingwiththeboys #holland #cic #cicrotterdam #balance #worklifebalance #foodies #shematters|Great group of people! 🙏✨",18
14,14,"Amazing!  An all-female Delta team flew 120 girls to NASA to get them excited about aviation careers.  Girl power!
#heforshe #heforshe👫",heforshe,|👏👏👏👏👏|👏🏼👌🏻👌🏻|🙌,63
15,15,༄Emma as Hermione Granger in Harry Potter and The Philosophers Stone (2001) ༄,heforshe,|#emmawatson#emmawatsonfanpage#feminist#emma#actress#harrypotter#potterhead#hermionegranger#hollywood#photo#heforshe#idol#nickimoore#instagood#movie#followme#emmawatsonlove#emmawatsonfan#followers#watsoner#weloveyou#emmacharlotteduerrewatson#emmawatsonstyle#angel|❤🌹❤🌹❤🌹❤🌹❤🌹❤🌹❤🔥❤🔥❤🔥❤🔥❤🔥❤🔥❤🔥⚘🌹⚘🌹⚘🌹⚘🌹⚘🌹⚘🌹⚘😍❤😍❤😍❤😍❤😍❤😍❤😍|Aff q linda❤️❤️😍😍😍😍|💗💘💗💘💗|I like the post 9 and 2|YASSS,193
16,16,"”On ollut hienoa nähdä pitkäaikaisen yhteistyömme saavutuksia, nähdä iloisia lapsia oppimassa uusia asioita. Se on kaikkein tärkeintä”, presidentti Niinistö sanoi kouluvierailulla Suomen tukemassa Hamle 19 -alakoulussa Addis Abebassa. Etiopian-vierailun toisena päivänä presidentti Niinistö tapasi myös Afrikan unionin komission puheenjohtajan Moussa Faki Mahamatin ja osallistui #HeForShe-tasa-arvoliikkeen tilaisuuteen. #sauliniinistö #etiopia #afrikka #addisabeba",heforshe,|👍 HeForShe 😃|Kalevalakoru ”Naisen ääni” paikallisella 👍|Hyvä Sale 💪🇫🇮,675
17,17,"Canon!
*
*
*
#ink #illustration #illustrations #animation #characterdesign #character #art #photoshop #drawing #dessin #sketch #cganimation #pirate #piratesofthecaribbean #pirates #woman #heforshe",heforshe,|Cool🔥,29
18,18,My Girl Must Have That Cake...🍑 Sir Mix A lot Is King!!! #sirmixalot #sirmixalotapproved #sirmixalotwouldbeproud,heforshe,|How Poetic 🙌🤣|#queen #alphafemale #girlsdoitbetter  #effyourbeautystandards #iamperfect #yesallwomen #heforshe #thickthighssavelives #worldstar #womenempoweringwomen #goddess #whoruntheworld #goalgetter #goaldigger #fierce #SheFITbyLiftology #strength #happiness #selflove #squats #womenwithambition #liftology #liftologyapparel #liftology.fit #worldlatinstar #nomoreexcuses #fitnessaddict #qualityoverquantity,34
19,19,"We aren’t done yet! ⠀
⠀
A big THANK YOU to all our teams, captains and participants who have biked, walked and run across Canada to support our work to end human trafficking. ⠀
⠀
Our tally so far is $55 617, which is 74% of our $75k goal. We have until the end of the month to keep fundraising so don’t stop now! Keep those donations coming!",heforshe,"|.
.
.
.
.
#humantrafficking #endhumantrafficking #endit #enditmovement #inittoendit #endslavery #thesociallyconsciouswoman #seekjustice #canadiancharity #winnipeg #calgary #vancouver #fairtrade #cdns #youtharethefuture #toronto #highschoollife #weday #girltalk #onlinesafety#realtalk #becauseiamagirl #heforshe #girlsrights #humanrights #womensrights #equality #socialjustice",22
20,20,"Alone we are strong💪  together we are stronger♥️💪
My love @_d_r_a_m_a_q_u_e_e_n___
#sanshiforever❤
.
.
#couplegoals
#relationshipgoals #forevermine #heforshe #mybaby",heforshe,|We r stunning together baby🔥😍|🔥🔥🔥🔥🔥,65
21,21,"i love her bye
-
-
[#emma #watsoner #emmawatsonfan #emmawatsonedits #emmawatsonedit #emmacharlotteduerrewatson #timesup #heforshe #feminist #felvtøngrp #hermionedits #hermionegrangeredits #hermionegranger #harrypottermovies #harrypotteredit #harrypotter #hpedits #littlewomen #littlewomenedit #littlewomenmovie #littlewomenedits #megmarchedit #megmarch #batbedit #beautyandthebeast]",heforshe,|💚💙💙💙|💚💙💙|Talented girl💚|💚💚💜|AWI HER SMİLE 🤧💕💘|UR SO TALENTED BBY💕|AWI PLESH PLESH TEACH MEH HOW TO DO A MASTERPIECE CAUSE U DO THEM EVERYTIMEEEEEE😍😍😍😍😍😍😍|THIS IS SO GOOD|Ow|OMG SKSKSKSKKS|WOW*|💕💕💕💕😩😩😩|haha|I love this💛|😍😍|Loveee thiss😍|Talentt|😍😍😍😍😍|💗💗💗💗💗💗|Omg|TALENT- 😍|Its so beautiful|OMG|THIS IS ART|HOW ARE YOU SO TALENTED|THIS IS SO BEAUTIFUL 😍❤️,110
22,22,"LEI MARIA DA PENHA .
.
Compartilhe e salve mana!
.
.
#violenciadomestica #leimariadapenha 
#policiamilitar #policiacivil #policia 
#dicapenal #dica #dicadireito #dicasdeconcurso #heforshe #realidade #denuncie #disk180",heforshe,"|👏👏👏👏👏|Fé,saúde, paz,amor,alegria,com o desejo de uma boa tarde🙏🙏🌺🌺 casal Deus abençõe|Muito boa essa dica meu amor!!!",228
23,23,"📖
.
.
.
.
#iownme #book #bookstagram #instabook #booklover #empower #empowering #empoweringwomen #believewomen #heforshe #genderequality #selfempowerment #selfownership #boundaries #harassment #motivate #lifecoach #emotionalvampire
#womensupportingwomen #uplift #fightback #courage #abuse #healing #myrights #mybody #retaliation 
#pressure #underpressure",heforshe,|Awesome! What a great testimonial to the power of your book!|😊,114
24,24,"„Manchmal ist ein Rückzug nötig, um Herz und Seele zu schützen.“ •••••••••••••••••••••••••••••••••••••••••••••
#girl #germangirl #heforshe #modelling #model #blondehair #love #loveit #lovetime #greeneyes #sport #sportgirl #sportgirls #lifestyle #photography",heforshe,|Hübsche 😊|uhh slayy girl ur fiitt🤩|😍|❤️|Warum der tiff gründigs Spruch 🌹,121
25,25,Catching up with @greenmonicard she is standing up for gender equality and actually creating change in our society. So proud to have the opportunity to listen to her and to be inspired to follow her lead #womensharks #unwomen @unwomen @unwomensweden #heforshe,heforshe,|Fantastic people always in the end. 😘|My pleasure 😀💪🏽💪🏽|🤩🤩,122
26,26,"#HeForShe Corporate Champion #ÖmerMKoç Chairperson @kocholding is Committed towards a sustainable future driven towards a gender equal world.
Read how #SerminEngin is breaking the stereotypes by working in a traditionally male dominated sector.
Read full story - LINK IN BIO
Have you made the #HeForShe commitment to #genderequality? Click I COMMIT at HeForShe.org",heforshe,"|#men #women #GenderEquality #HeForShe #Girls #Boys #GenderParity #MaleAlly #UnitedNations #UNWomen #Equality #society #impact #IMPACTReport #advocate #rights  #leadership #diversity #parenthood #future #EqualPay #ParentalLeave 
#Education #Champions #literacy #youth #Empower|👌🏻|After I met Mr Brian and invested with him on binary options, my life has changed as I've made over $100,000 in Just 2 weeks. This  is amazing and I'm here to testify and recommend him to all of you who wants to invest. Please contact him on Instagram @brian_gru",528
27,27,"Några av de bästa egenskaperna hos Elin Kristensson är att hon är analytisk, kraftfull  och full av energi dessutom är hon grymt nyfiken på @unwomensweden #heforshe #orangeday och vill vara med i förändringen till en mer jämställd värld 👍🏼👍🏼👍🏼",heforshe,|Tack för en inspirerande stund 💪🙌😍 @greenmonicard,24
