SeqNo,text,hashtags,comments,likes
638,"Let’s talk about the shirt I’m wearing in this photo. I have found a new clothing company that I can really get behind. @blackbandana.apparel has a small but intentional collection of sustainable and vegan clothing designs. I wear this shirt proudly to show that I stand united on the front that people should never be labeled as illegal. I highly recommend checking them out. They support countless charitable organizations and truly just have a wicked branding style. Thanks for giving a shit about things @blackbandana.apparel I appreciate you. ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀
#cheflexx #veganclothing #sustainablefashion #migrationisnotacrime #supportsmallbusinesses #veganchef #ethical #ethicalfashion #steez #clothingbrand #clothingcompany #tshirtdesign #tshirttime #nohumanisillegal #united #weareone #weareequal #equality",weareequal,|Hype up eachothers recent?❤️😇|This literally sets my heart on fire 🔥 you badass motherf*cker 😍|What a beautiful soul you are 🖤 Your are true inspiration and we do appreciate you too 🔥|🔥🔥✔️|This shirt is everything 👏👏|Followed❤️|Awesome!,178
639,"We know Lin as an amazing Dj, but she also has a lovely wife and 2 beautiful kids! The little one turned one today! Congratulations 🎊 
Want to see Lin play again? She’s is starring at our next event on August 24!
#labelunknown #weareequal #art #storytelling #music #underground #techno  #tribal #climatechange #vrijpaleis #amsterdam #damsquare #party #humansandclimatechangestories #haryshanthi #djlin",weareequal,|Mooie foto! Gefeliciteerd met de jongste!,19
640,😍🌈🏳️‍🌈 #loveisequal #loveislove #stockholmpride #weareequal #weareequalse #equality,weareequal,|❤️🤗Heja kärleken♥️,30
641,"The love you so freely give to others give to YOURSELF 🙌🏼
You deserve your own love more than anyone else does ! So please 🙏",weareequal,|#bekindtoyourself #changetheworld #weareequal #equality #equalityact #girlpower #girlpowerquotes #ladiesandgentlemen #toronto_insta #blondiegirl #fitblonde #empowerment #empoweringwomen #ladiesnight #spreadlove #spreadkindness #bulletjournal #youarestrongerthanyouthink #dontsellyourselfshort #goaldigger #femaleempowerment #ladyboss #innerpeace #beyourself #beyourbestself #femaleempowerment #barbelles,18
642,"#SaveTheAnimals #WeAreEqual 
Human Belong to Animal & Animals Belong to Human by Heartily!
And I'm In Love With My Bestie, Kukku!!
Heartily Thanks, Dear @indian_awwrat
For This Beautiful Picture!
.....
@peta @petaindia @petakids @pfa.official @animalaid_india @worldanimalprotectionindia @world_animal_protection",weareequal,|awwwww😍🔥❤️|One of your best post 😍😍👌👌|Aww💜😍💖|😃💙,107
643,"नफरतों भरे माहौल में दिल को सुकून देने वाली तस्वीर ।
#dontignoretoallcitizens 
#truethis #truth 
#weareone #weareequal
#amumedia",weareequal,|masallah|Inshaallah ye nafrat jald se jald khatma ho jayegi jo nafrat pehla rahe hai wo na Hindu hai wo bohot gandi zehniyat wale log hai jo ye chahate hai ke hindu muslim hamesha larte rahe or ham maze karte rahe par ham muslim or Hindu bhaiyo se mere guzarish hai ke apne dilo ko saam banaye rakhe or ek dusre ke liye pyar rakhe or koi galat kar raha hai wo koi bhi ho uska donohe verod kare or agar ham log aise he larte rahe to ye desh bilkul barbad ho jayega or jo kuch gande log hai unka maksad kamiyab ho jayega bas ye cheez to ham dono komo par he hai jo ek dusre ko pyaar de plzz apne india ko badnam na hone de hamara desh bohot pyara hai or kuch logo ke bato me na aaye ham log plzzz india zindabad 🤝🤝🤝🤝|💓💓💓💓💥💥💥|😍|Hmm Muslim asa hi hota h|Jai Bhole Ki|❤️❤️👏👏|😍|👏👏👏|👍|👍,1750
644,"A windy #WorkExperienceWednesday for us as we prepare glass bottles for a special project. What do you think we are doing with these bottles?

Stay tuned next Wednesday to find out!

#empower #engage #enrich #thenesbittcentre #TNC",weareequal,|#inclusion #specialeducationneeds #SEN  #autism #autismawareness #downsyndrome #learningdisabilities #differentlyabled #specialneeds #acceptance #awareness  #bekind #differentnotless #actuallyautistic #neurodiversity #weareequal|Decoupage bottles!,28
645,"💙💛❤🖤💜💚🧡 #multicultural kind of #life ♡🇲🇹🇳🇿🇵🇰🇪🇸🇬🇧🇧🇻
.
.
.  #summerlife #summerlove #summermagic #summervibes #happiness #happyvibes #iljielimellehin #malta #mellieha #wearefamily #family #friendship #friends #love #joy #lifeisbeautiful #instagram #culture #diversity #weareequal #onefamily #streets #acoustic #band #music  #aroundytheworld #travel #worldwide",weareequal,|❤️❤️❤️❤️❤️,33
646,"Good ol’ Gloria keeping it ‘Christian’... #thaushallnotjudge right. 
Good job on spreading the Christian message Gloria. #dontbelikeGloria #dontbeahater #dontbeafakechristian #lovethyneighbor #stopthehate #dontjudge #dontbeabully #pride #loveislove #weareequal #fakechristians #spreadlove #stopbullying",weareequal,"|These Christians forget that Jesus said “love your neighbor”|Pffft, homosexuality, etc., has been around since the beginning of humanity.",4
647,"Life LIFE to the absolute FULLEST extent!!!!! My loves , we have ONE life! One! You have to remember that and make the absolute best out of every single day! Even the ones you don’t want too or feel motivated for those are when you have to push that much harder! Don’t ever have regrets , regret is a heavy burden so live live live xoxoxoxoxox",weareequal,|#bekindtoyourself #changetheworld #weareequal #equality #equalityact #girlpower #girlpowerquotes #ladiesandgentlemen #toronto_insta #blondiegirl #fitblonde #empowerment #empoweringwomen #ladiesnight #spreadlove #spreadkindness #bulletjournal #youarestrongerthanyouthink #dontsellyourselfshort #goaldigger #femaleempowerment #ladyboss #createthelove #beyourself #beyourbestself #femaleempowerment #barbelles,11
